Evaluations,Fitness
14590,(9.382511817762898,)
14612,(9.38113490927493,)
14623,(9.380466133786326,)
14630,(9.380300197219386,)
14651,(9.380046623379464,)
14656,(9.379138073075742,)
14675,(9.378933221228458,)
14693,(9.377160777395549,)
14776,(9.376747927547367,)
14787,(9.375324213801159,)
14804,(9.37523469200168,)
14843,(9.373723803351554,)
14874,(9.373485371035196,)
14889,(9.373283907248052,)
14891,(9.373008981089235,)
14894,(9.372907646984606,)
14898,(9.372535179445464,)
14915,(9.371836686797376,)
14917,(9.368944239417251,)
14933,(9.367997790065367,)
