Evaluations,Fitness
444399,(0.0006327864702164732,)
444635,(0.0006261743699482736,)
444849,(0.0005903909791618034,)
445445,(0.0005463680505819468,)
447636,(0.0005351514180729211,)
448986,(0.0005230466429120284,)
448988,(0.000501581580711008,)
449615,(0.0004924320196608711,)
450994,(0.000489677971802216,)
451541,(0.0004609972936573392,)
452434,(0.00043514428741264766,)
454013,(0.00043410448704639393,)
454234,(0.00041761176796173416,)
454894,(0.000402288695983799,)
455039,(0.00039354658549761723,)
456014,(0.0003851068154796522,)
456237,(0.00038465307638091417,)
456949,(0.00036833776965305987,)
458346,(0.0003484090849377175,)
460733,(0.0003433976623754553,)
460844,(0.0003395351326767049,)
461034,(0.0003260605669175298,)
462152,(0.0003239282727882653,)
462157,(0.00031161088122644287,)
462578,(0.00030761115401434225,)
463309,(0.00030246728859362193,)
463743,(0.0002955594280522611,)
465693,(0.00026947636252661056,)
466975,(0.00026034333376800944,)
467732,(0.00025675924021895113,)
470035,(0.000256357106861671,)
470067,(0.0002506718597987678,)
470160,(0.0002500377210852278,)
470877,(0.0002496805854557138,)
471084,(0.00024656745925755175,)
471548,(0.00024408363432293356,)
471924,(0.00023380422702068415,)
472144,(0.0002183603175289761,)
473765,(0.00021819259568678362,)
475250,(0.00021636195197816122,)
475299,(0.0002104716767239445,)
475330,(0.00020974552325103701,)
475736,(0.0001956585490678897,)
477180,(0.0001865411853891885,)
477992,(0.00018446360802082395,)
479075,(0.00018125651773903684,)
479158,(0.00018109987562109353,)
479837,(0.00016767479664281382,)
480028,(0.00016160037465917654,)
480148,(0.0001342317804087223,)
488423,(0.0001288857662768983,)
489397,(0.00012502872845665536,)
490220,(0.00011646191135250561,)
491221,(0.00011177259677808138,)
491358,(0.0001088985273538512,)
493229,(0.00010196404231432865,)
495789,(9.468534745682433e-05,)
499721,(9.37831504925768e-05,)
500251,(9.36086537048908e-05,)
500497,(8.927584817097767e-05,)
501488,(8.65037411994507e-05,)
501965,(8.208224877215287e-05,)
502939,(7.996468105231358e-05,)
503839,(7.783845864928196e-05,)
503895,(7.76126893082818e-05,)
504304,(7.670941534687614e-05,)
504511,(7.590872730123266e-05,)
505189,(6.849649414819581e-05,)
505767,(6.707738890954218e-05,)
508046,(6.356548840935616e-05,)
508558,(6.33501288072047e-05,)
509219,(6.106350643619862e-05,)
510442,(6.001893973106576e-05,)
511039,(5.784623062776717e-05,)
512133,(5.2647292705376714e-05,)
514552,(5.186997891781786e-05,)
515705,(4.891269553652933e-05,)
518565,(4.491329852074344e-05,)
518710,(4.316939232529293e-05,)
522176,(4.280063259987088e-05,)
522282,(4.247424881587136e-05,)
522346,(4.201990695129609e-05,)
522712,(4.1379809588626415e-05,)
523823,(4.054923364948948e-05,)
524583,(4.019575114400098e-05,)
524717,(3.975594016836226e-05,)
525234,(3.974858003230608e-05,)
525343,(3.947963111983199e-05,)
525901,(3.829767430474362e-05,)
525984,(3.7560734383212946e-05,)
527427,(3.7359976077677715e-05,)
527430,(3.7131090985020876e-05,)
527492,(3.463066698961015e-05,)
528366,(3.197481842542871e-05,)
529814,(3.078476505713468e-05,)
530427,(2.948029179306033e-05,)
533033,(2.8517985789289213e-05,)
533271,(2.845548991414759e-05,)
534323,(2.7277675747949814e-05,)
535112,(2.7022543382493325e-05,)
535334,(2.5389264341590945e-05,)
536575,(2.519929480770955e-05,)
539910,(2.2572615806737417e-05,)
543647,(2.206995614217888e-05,)
545164,(2.1652122745408064e-05,)
545694,(2.0062752319915944e-05,)
546911,(1.9714612040200308e-05,)
547152,(1.9405238087966126e-05,)
550779,(1.918959688529398e-05,)
551293,(1.9127672860719258e-05,)
552252,(1.8382674353389916e-05,)
552266,(1.7285828041391227e-05,)
553351,(1.7171002043792072e-05,)
554347,(1.7151003200766013e-05,)
554760,(1.62394272882338e-05,)
555279,(1.6206992784262297e-05,)
555604,(1.5260260851857055e-05,)
557572,(1.3944097963403124e-05,)
560016,(1.3230774308148341e-05,)
561498,(1.3091182699209725e-05,)
561807,(1.2458878410726015e-05,)
561846,(1.2442923241096082e-05,)
562869,(1.1953376547246819e-05,)
564007,(1.126048378852218e-05,)
565280,(1.1175316834144411e-05,)
565987,(1.0492627317670866e-05,)
567023,(1.0465117717295414e-05,)
567945,(9.924950551187806e-06,)
